bank_id,section,destination,priority_phase,issue_category,issue_severity,original_status,repair_action,student_prompt_changed,answer_changed,figure_or_table_changed,metadata_changed,original_prompt_hash,final_prompt_hash,validation_method,final_status,notes
U2-S2-PS2-Q05,2.2,Practice Set 2,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,b41a17c4d0af948f3788f93bbe4383db947833a934b88c9fa3ef635525fd38ff,61f41ad6ec51ed7114241e6f60fa91d48b0c33bc6bcf692ab3a4c4f75b12b69f,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S2-PS3-Q05,2.2,Practice Set 3,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,6605c60486403abdb1e2e7552398e204cea3db74700ad530243cc13b3590dcba,90f070577b57de8de0e86c97533df09fca3177d7b6d7bced052cee067b30515c,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S2-WTC01,2.2,What's To Come,1,representation_clarity,MAJOR,REPAIR,Clarified what “distance” is measured from so a decreasing graph is physically meaningful. Synchronized the WTC answer with the clarified fixed-marker interpretation.,YES,YES,NO,NO,3f55baea7115fba7f98e0e2c51a8a2bfe1bf0fcf28503ab8b07af655404344c3,f475d340e6fe0643f8e5a8363dc197be8e2f2f0d21e9e7219ecf6c9fe2481376,Assessment Plan + Framework representation review; final prompt/answer consistency check,PASS,The approved graph includes a decreasing line; the old wording could be misread as cumulative distance traveled.
U2-S2-XP-Q05,2.2,Extra Practice,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,72796cfdfaefcee1f15ec3c24367fab44293452807f66c98e5bfacc730bba930,6d5f293ed536f70a4766fa738014e0dd9b0bbecf049bc0dbdcb255853ffc125b,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S3-PS1-Q06,2.3,Practice Set 1,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,ceccb29f9acb61561efd91fff9f989e9e6bac7abfd0045704288ad7ed67543ca,963428bcb2f4911a13c6bacf65ba3d2319ad9cbeaa858dc5107dd95a49e84942,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S3-PS2-Q06,2.3,Practice Set 2,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,53eee79a59965d69d8f8a15548812f53dd96fd46d35b6b0e914a21c4fb5bc23f,f108b90c089eae03f0f696339a01e12f663df8ee410b7c9cfea4f842b096d57e,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S3-PS3-Q06,2.3,Practice Set 3,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,e3a2db0d4d1e4d5c8530e40ecb886098f9abebe0a609c9b81ac50627de7cd63e,5d14cbd490214709272e152f20fd6247b42862ac80f963746f5a5a93864b9418,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S3-XP-Q06,2.3,Extra Practice,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,970e4c4f6d1528786c788d43a5ff82e786f8c421c3f83dfdc40093e2bca1bb44,c29e5ff1419873b7c7c5ee37357889b087cda0147aa03c5afbec02c8ced9c036,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S4-NOTE-EX03,2.4,Notes Example,2,answer_revealing_figure,MAJOR,REPAIR,Neutralized the figure title/legend/alt so the comparison does not label the correct model for students.,YES,NO,YES,YES,f0f5619c1f378debce90d8924c39c9ddaee67068df8b1832ad1c46cac3fc2466,8f7ef040e155836104d9f9e6622d831855a67e75850e3082e1cbd433ecd14b71,Framework figure review; regenerated visual inspected for answer-neutral labels; dependency audit,PASS,Regenerated with neutral Model A/Model B labels using Framework graph tooling.
U2-S4-PS1-Q07,2.4,Practice Set 1,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,1c284c561972513719b3b6bca80dbbbe5b734d6d77d1cbe0999b20aea0057673,9c7a6d8553fdf7d7cfe05f1cc1ae7ebb3b079273c93c09e54bd496ebcbfefbdc,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S4-PS2-Q07,2.4,Practice Set 2,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,c6e059f5ab58293d937834d97485c87b514d1a87aef3f4f67e9d7bacae5a33f0,7c2afbcee344f654b3f9320a4d8b4558032d1de03628ab2f6a56545f2d0554d8,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S4-PS3-Q07,2.4,Practice Set 3,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,fb8ed533dfc73bfaa42a901b414fffdc06597c01fcaacc520df934b78cf918a1,884b6be588fcdf80159597d1b183b10b097f0244ac6cc0ecf17d3fb975b9363f,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S4-XP-Q07,2.4,Extra Practice,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,1dc58bcc9c53215117f600cfbad04a5db4e39b485f96f4f0e8ab3dc01976cb0f,d8663ceb0cdec52991c50bbbed9ef22884519884068b9b2a27c7bb102e50d66a,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS1-Q05,2.5,Practice Set 1,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,aa6cfb13ce9cbc4d67465c32d9e842d5da65ba2a7c05a7edb1b6a9adbbd7a8b6,eeff590a75c3b3603f5322417fee8149665948ead741cb1f96dfeb82efb89ce8,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS1-Q08,2.5,Practice Set 1,3,physical_context_fit,MAJOR,REPAIR,Replaced generic “medium”/mismatched current context with a physically coherent water-current or air-wind reference-velocity context.,YES,YES,NO,NO,dff7c593333756a80d93e339353abb5f652007218a30eb7457092dbbf413e6dc,3735f3ddfd6af2ecfacf0c7175aaf115c2b881e5f05b9d56266695cc7fc928aa,Reference-frame/vector model review; independent component/resultant recomputation,PASS,Preserved original component magnitudes and resultant physics.
U2-S5-PS1-Q15,2.5,Practice Set 1,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,d83c961b298222705d4cf6ddae74c9979b1be61ed8366023e1b9fea4f1a5c473,61e1d990229d236979fe8d621f1070b887b034f1d3b279d10b370f4d5fbd3722,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS1-Q17,2.5,Practice Set 1,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,b7832a9b654e4ea849ea764e482590775991f034c53f91fef34512a00b30eb3c,78575135d2fa881ef6ac4d3e842d315c6f07debe1754dcabdf504233ce2f6b9e,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS1-Q18,2.5,Practice Set 1,3,physical_context_fit,MAJOR,REPAIR,Replaced generic “medium”/mismatched current context with a physically coherent water-current or air-wind reference-velocity context.,YES,YES,NO,NO,cd4385389abac8588a8a6662674011b2a54fd0bd75bbdf01e79a2689533da565,84890866683f42ab86d83320359abce5fcc5b6191a6097c9954fa3393f75fad7,Reference-frame/vector model review; independent component/resultant recomputation,PASS,Preserved original component magnitudes and resultant physics.
U2-S5-PS2-Q05,2.5,Practice Set 2,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,aab8bfa7c91271a2b1dc0356c6a9bf0859170db7f8c7d5f729a0886982eb7822,adf0c5d58bdf5a2eb3e9d7584c82a768cde479a4dcea47c0d13aa2019c41dcb9,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS2-Q08,2.5,Practice Set 2,3,physical_context_fit,MAJOR,REPAIR,Replaced generic “medium”/mismatched current context with a physically coherent water-current or air-wind reference-velocity context.,YES,YES,NO,NO,eb55922e53bc01d83792435c167eccef172d457c40ac5c92960dcaade1af20fe,7766268c631d2fdd3747da6c60738a418fa8069a960f1e8fa7f62ad6fe786de4,Reference-frame/vector model review; independent component/resultant recomputation,PASS,Preserved original component magnitudes and resultant physics.
U2-S5-PS2-Q15,2.5,Practice Set 2,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,ecec60804e5b42914bc8e4fbcbad8089b09947cf7fa057b94cb8669d1cc3227c,eb0e5667b80c024c241ebc46b2c8e7399e9bd55c4737d5f1bec0f006879f68b5,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS2-Q17,2.5,Practice Set 2,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,432444332a115760814eda5027483703cc75c2f2498753f0576b376d9f7b5dfb,6fee5b2f30f7c2f9cd0a472f4b01d1a499c62439b7ae09693735bdeee36b8e47,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS2-Q18,2.5,Practice Set 2,3,physical_context_fit,MAJOR,REPAIR,Replaced generic “medium”/mismatched current context with a physically coherent water-current or air-wind reference-velocity context.,YES,YES,NO,NO,50b241ffadfe685936c4c2d5b70b2cbe2fcb20df948f495ebc5bdda621ffa8a3,130d0cdddff9c794323a00965914716ef769623bd4ba8d47d38e73c41eb29968,Reference-frame/vector model review; independent component/resultant recomputation,PASS,Preserved original component magnitudes and resultant physics.
U2-S5-PS3-Q05,2.5,Practice Set 3,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,4832ea5b471b531c93240668f3a9a46a6aa064187f3d4e0c62f3c5afc098ffd1,45dd6df13958e92c96100fef45ba4a07ace2c09d5ce922d9647dfd95a46ce758,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS3-Q08,2.5,Practice Set 3,3,physical_context_fit,MAJOR,REPAIR,Replaced an impossible current/robot context and generic distractors with a coherent drone/wind vector item.,YES,YES,NO,NO,54153657cbb0ff04c129e2af666f1598c6571c334edbfb3d379881ac99a8c7bc,b17e85a0f98500f28817c35583a368ba3e8d5fa3250453ad9cc40ab6beffabea,Reference-frame/vector model review; independent component/resultant recomputation,PASS,Correct value $\sqrt{7^2+10^2}=12.21$ m/s.
U2-S5-PS3-Q15,2.5,Practice Set 3,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,bb4f7fbc8fe08d5800e3e6a6d85742b7bc09d3d0de0fdcafb39698cee7b105e8,af263c3227211252fba74f86ff6be252f853bb7caa65c249695b81cad649f8d5,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS3-Q17,2.5,Practice Set 3,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,325fcdbd1322406ac9c6f976edb27a9e334710e352bdafce1f20768dd7fea594,bfb1800c42af07aeb3b30a89c31451e648ebbf8099076ecca4aa5dd3f1c12d71,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-PS3-Q18,2.5,Practice Set 3,3,physical_context_fit,MAJOR,REPAIR,Replaced the “current carries a plane” context and generic medium language with a coherent air/wind relative-velocity item.,YES,YES,NO,NO,7a280ef63883a9d67f9f426fea74434df364de1752200776c49f7a3b0caf0fd8,4dff745171cf18e3ae50af2bf743611542af2bbd35e7938f06afdf5142e27e3b,Reference-frame/vector model review; independent component/resultant recomputation,PASS,Correct value $\sqrt{7^2+5^2}=8.60$ m/s.
U2-S5-XP-Q05,2.5,Extra Practice,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,cc4c2f4dd6e83f69923b57c661aa132f82d2843ec930be422bcda9ea6a80aba3,1c9de9812e44978397f536c1c0de9b953c7303839ab2a98300a7fada4ddce78b,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-XP-Q08,2.5,Extra Practice,3,physical_context_fit,MAJOR,REPAIR,Replaced generic “medium”/mismatched current context with a physically coherent water-current or air-wind reference-velocity context.,YES,YES,NO,NO,6c44491335f03846487c92f24dae1664b5834f7816a0dff3a5a5c8fc3b1d32a7,38e3d04a27aed8a788cb33aba92f3d36998dccd8c48d5931fafeff343cebcf1c,Reference-frame/vector model review; independent component/resultant recomputation,PASS,Preserved original component magnitudes and resultant physics.
U2-S5-XP-Q15,2.5,Extra Practice,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,863ee10f5ef523ae22097a0a8c97ab71ddfa929d88058d984bfe77a1b20d728a,c815f85f1e6b3dcc879c1adca3aecaa4733077584285dc8d1ee72bf09e146b23,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-XP-Q17,2.5,Extra Practice,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,c5304a9d8e0708011b62f631b3a76f4ba09687d733c6b57048b75fe5165beb69,d3e7d36e1b9c9f824671c1bfc18005bfe43de2d7493760976de0c20e8e470586,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
U2-S5-XP-Q18,2.5,Extra Practice,3,physical_context_fit,MAJOR,REPAIR,Replaced generic “medium”/mismatched current context with a physically coherent water-current or air-wind reference-velocity context.,YES,YES,NO,NO,affc132e107c938912de898e0a268e60fc294de176a229af441b6fe8e9466ebb,223e7b4999f88c6b8130406017b50399136281455307697afc6d8a1875e7e68a,Reference-frame/vector model review; independent component/resultant recomputation,PASS,Preserved original component magnitudes and resultant physics.
U2-SUM-V1-Q01,2.1,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 2.,YES,NO,NO,NO,956b6eb5894f43183283d8ddf20ba85ab886066157b50e2c7a99734b15b50b7c,73643205d4997b35a00a2443e5772b11fd4822ce5bc9a082ebc959cb704493b2,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V1-Q04,2.2,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 4.,YES,NO,NO,NO,02d2db7126bdcc6daa384f9961dde0eb6ba6eaa5380737d0dde1e04f3ff4a20b,04d54fa06091d2923e37eecfec5b5fb14aa588b556080c85859eb2bf2bbda1ea,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V2-Q01,2.2,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 2.,YES,NO,NO,NO,bd9cf65b904b0897662259b713e34ef0cc8f373adc6e4dc65cf06c32a5e5150d,7301335936a400ba56c9bd19239e35927408cb039ceab3bde6a8201d469573df,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V2-Q04,2.3,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 4.,YES,NO,NO,NO,262c1bd890e0cbe8b125306349c7f2a8c27a787037c78ca9481484ae54d38a91,e3b10aa34b53b2f7c7fc2ed26f16a326285936ef5a56074ef9e235ac27f946f1,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V3-Q01,2.3,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 2.,YES,NO,NO,NO,3a7dbcb8d7cdb04fa216d657701aaa3c61e215807f9843532ff250b5ddafa551,2c310622322fda9879d094cd73c467660fcc7c2b87752472414a0de41bbb3227,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V3-Q02,2.4,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 4.,YES,NO,NO,NO,dff3fcaf09331dc34d6cf1cd6a803a0077062fb47b68f1acb8db361cf2e3c487,3c9bb8e607e2ffe0120ef9c6153280f73a2f136ef43a8e56eb08dac27923adee,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V4-Q01,2.5,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 2.,YES,NO,NO,NO,3731a9d5484c50c0bd25f70537f157456b5d5b4c5e1ad51f78196eecfaebb17a,430341e04e9c9664cb498eaef11b406e8f660799455a430e5ce75cd87748598e,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V4-Q04,2.1,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 4.,YES,NO,NO,NO,471e637e6143ebeb9799b35102ccafd00948b28b2cf39f40f6a543313ec5d0b4,c3528bbe561f7d46034fb8380095ff0dcb3ad516e979f7ac8e96a6804454e80e,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V5-Q01,2.2,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 4.,YES,NO,NO,NO,19a2ae530d90878c0d52fb3f34d1d13c09d134eb5c5010340a7379e5b0c0409e,ece8acc3c42eb69f693f20019065a80ccb55df0b83440985660defa1723847af,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V5-Q02,2.2,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 2.,YES,NO,NO,NO,a08131c263f8662f91bdfcdcb544a2a5a57c814a9dbd5855592f0f05d86b3f0a,1439b39fb4d5b55029392b351f21f5c93b9ee2b852578281aaec8667fcfa3a7f,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V5-Q08,2.5,Summative,7,secure_semantic_independence,BLOCKER,REPAIR,Replaced a direct components-to-resultant makeup item with reverse component reasoning to restore independence from instructional vector-addition practice.,YES,YES,NO,YES,6a71c5d81e52814256d5d1ea5cb48bfe80d80a2b4ff9550e43eda30951e242ba,c1343bee2bb9a7af600adad4275f9d7e7edc9a89f6c517b8a32f34b7f6df6649,Instructional-vs-secure architecture comparison; independent solution verification,PASS,Same Mastery Goal and blueprint slot retained; V5 remains distinct from both V1-V4 direction-change and V6 vector-critique architectures.
U2-SUM-V6-Q01,2.4,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 2.,YES,NO,NO,NO,cca92d3ea7369dbfa616db1bbbd8a62900b9d88d2dd4ee159d39bd35a581d092,267ff0da09914051d670a263fd90bbfe920110be3c25fac7882910dd28855fe1,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
U2-SUM-V6-Q06,2.1,Summative,7,selected_response_position,MAJOR,REPAIR,Reordered answer choices so the correct answer appears in position 4.,YES,NO,NO,NO,b06f32719af42d95d403c8e8baf9e61c0eedf5661d5f970f0d2674cc3f6541d1,2628891c23176137ba2cc20fde25040eefe8281339bfb5e82dd7aad6c0b00977,Selected-response one-best-answer and answer-position distribution audit,PASS,Balances secure-form answer positions without changing content or evidence.
