bank_id,pm_family,course,unit,section,destination,destination_group,destination_slot,retrieval_stage_or_scope,mastery_goal_id,evidence_point_id,summative_version,blueprint_slot_id,question_family_id,variation_mode,task_architecture,dok,learning_target,i_can,practice_standard,item_type,answer_type,security_level,estimated_time_sec,figure_files,figure_source,graph_tool_type,source_basis,notes
U2-S2-NOTE-EX01,AP/SCI,Conceptual Physics,2,2.2,Notes Example,notes,EX01,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can calculate average speed from distance and time.,quantitative reasoning,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-YTI01,AP/SCI,Conceptual Physics,2,2.2,Notes YTI,notes,YTI01,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can calculate average speed from distance and time.,quantitative reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-EX02,AP/SCI,Conceptual Physics,2,2.2,Notes Example,notes,EX02,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can distinguish instantaneous speed from average speed.,data interpretation; quantitative reasoning,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-YTI02,AP/SCI,Conceptual Physics,2,2.2,Notes YTI,notes,YTI02,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can distinguish instantaneous speed from average speed.,data interpretation; quantitative reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-EX03,AP/SCI,Conceptual Physics,2,2.2,Notes Example,notes,EX03,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.","I can explain that velocity includes both speed and direction and compare examples of constant speed, constant velocity, and changing velocity.",scientific communication,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-YTI03,AP/SCI,Conceptual Physics,2,2.2,Notes YTI,notes,YTI03,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.","I can explain that velocity includes both speed and direction and compare examples of constant speed, constant velocity, and changing velocity.",scientific communication,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-EX04,AP/SCI,Conceptual Physics,2,2.2,Notes Example,notes,EX04,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can calculate average speed from distance and time.,quantitative reasoning,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-YTI04,AP/SCI,Conceptual Physics,2,2.2,Notes YTI,notes,YTI04,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can calculate average speed from distance and time.,quantitative reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-EX05,AP/SCI,Conceptual Physics,2,2.2,Notes Example,notes,EX05,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can distinguish instantaneous speed from average speed.,data interpretation,worked example,constructed-response,instructional,180,figures/unit2-distance-time-graphs.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-NOTE-YTI05,AP/SCI,Conceptual Physics,2,2.2,Notes YTI,notes,YTI05,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can distinguish instantaneous speed from average speed.,data interpretation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-WTC01,AP/SCI,Conceptual Physics,2,2.3,What's To Come,wtc,WTC01,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation,graph pattern prediction,constructed-response,instructional,180,figures/unit2-velocity-time-pattern.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-EX01,AP/SCI,Conceptual Physics,2,2.3,Notes Example,notes,EX01,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,quantitative reasoning,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-YTI01,AP/SCI,Conceptual Physics,2,2.3,Notes YTI,notes,YTI01,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,quantitative reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-EX02,AP/SCI,Conceptual Physics,2,2.3,Notes Example,notes,EX02,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",quantitative reasoning,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-YTI02,AP/SCI,Conceptual Physics,2,2.3,Notes YTI,notes,YTI02,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",quantitative reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-EX03,AP/SCI,Conceptual Physics,2,2.3,Notes Example,notes,EX03,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",model translation,worked example,constructed-response,instructional,180,figures/unit2-motion-diagram-spacing.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-YTI03,AP/SCI,Conceptual Physics,2,2.3,Notes YTI,notes,YTI03,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",model translation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-EX04,AP/SCI,Conceptual Physics,2,2.3,Notes Example,notes,EX04,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,scientific explanation,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-YTI04,AP/SCI,Conceptual Physics,2,2.3,Notes YTI,notes,YTI04,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,scientific explanation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-EX05,AP/SCI,Conceptual Physics,2,2.3,Notes Example,notes,EX05,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning,worked example,constructed-response,instructional,180,figures/unit2-velocity-time-pattern.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-NOTE-YTI05,AP/SCI,Conceptual Physics,2,2.3,Notes YTI,notes,YTI05,current-section,U2-MG03,,,,,,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-WTC01,AP/SCI,Conceptual Physics,2,2.4,What's To Come,wtc,WTC01,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use $g \approx 10\text{ m/s}^2$ to determine speed gained during free fall.,model evaluation,pattern prediction,constructed-response,instructional,180,figures/unit2-free-fall-speed-pattern.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-EX01,AP/SCI,Conceptual Physics,2,2.4,Notes Example,notes,EX01,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can explain why objects in free fall accelerate at the same rate when air resistance is ignored.,scientific explanation,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-YTI01,AP/SCI,Conceptual Physics,2,2.4,Notes YTI,notes,YTI01,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can explain why objects in free fall accelerate at the same rate when air resistance is ignored.,scientific explanation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-EX02,AP/SCI,Conceptual Physics,2,2.4,Notes Example,notes,EX02,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use $g \approx 10\text{ m/s}^2$ to determine speed gained during free fall.,mathematical reasoning,worked example,constructed-response,instructional,180,figures/unit2-free-fall-speed-pattern.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-YTI02,AP/SCI,Conceptual Physics,2,2.4,Notes YTI,notes,YTI02,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use $g \approx 10\text{ m/s}^2$ to determine speed gained during free fall.,mathematical reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-EX03,AP/SCI,Conceptual Physics,2,2.4,Notes Example,notes,EX03,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use free-fall patterns to compare distance fallen during different time intervals and distinguish free fall from falling with significant air resistance.,model evaluation; mathematical reasoning,worked example,constructed-response,instructional,180,figures/unit2-flawed-freefall-graph.png,graph_tool,TYPE 2,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-YTI03,AP/SCI,Conceptual Physics,2,2.4,Notes YTI,notes,YTI03,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use free-fall patterns to compare distance fallen during different time intervals and distinguish free fall from falling with significant air resistance.,model evaluation; mathematical reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-EX04,AP/SCI,Conceptual Physics,2,2.4,Notes Example,notes,EX04,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can explain why objects in free fall accelerate at the same rate when air resistance is ignored.,data interpretation; mathematical reasoning,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-YTI04,AP/SCI,Conceptual Physics,2,2.4,Notes YTI,notes,YTI04,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can explain why objects in free fall accelerate at the same rate when air resistance is ignored.,data interpretation; mathematical reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-EX05,AP/SCI,Conceptual Physics,2,2.4,Notes Example,notes,EX05,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use $g \approx 10\text{ m/s}^2$ to determine speed gained during free fall.,model evaluation; explanation of phenomena,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S4-NOTE-YTI05,AP/SCI,Conceptual Physics,2,2.4,Notes YTI,notes,YTI05,current-section,U2-MG03,,,,,,,2,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use $g \approx 10\text{ m/s}^2$ to determine speed gained during free fall.,model evaluation; explanation of phenomena,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-WTC01,AP/SCI,Conceptual Physics,2,2.5,What's To Come,wtc,WTC01,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can compare velocity vectors to determine whether an object’s velocity is changing.,representation translation,vector prediction,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-EX01,AP/SCI,Conceptual Physics,2,2.5,Notes Example,notes,EX01,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can represent velocity with arrows that show both speed and direction.,representation translation,worked example,constructed-response,instructional,180,figures/unit2-velocity-vector-turn.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-YTI01,AP/SCI,Conceptual Physics,2,2.5,Notes YTI,notes,YTI01,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can represent velocity with arrows that show both speed and direction.,representation translation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-EX02,AP/SCI,Conceptual Physics,2,2.5,Notes Example,notes,EX02,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can compare velocity vectors to determine whether an object’s velocity is changing.,mathematical reasoning; modeling,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-YTI02,AP/SCI,Conceptual Physics,2,2.5,Notes YTI,notes,YTI02,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can compare velocity vectors to determine whether an object’s velocity is changing.,mathematical reasoning; modeling,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-EX03,AP/SCI,Conceptual Physics,2,2.5,Notes Example,notes,EX03,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.","I can connect motion diagrams, data tables, and graphs to written descriptions of motion and critique an incorrect motion model and revise it using evidence.",develop/evaluate models,worked example,constructed-response,instructional,180,figures/unit2-motion-diagram-spacing.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-YTI03,AP/SCI,Conceptual Physics,2,2.5,Notes YTI,notes,YTI03,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.","I can connect motion diagrams, data tables, and graphs to written descriptions of motion and critique an incorrect motion model and revise it using evidence.",develop/evaluate models,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-EX04,AP/SCI,Conceptual Physics,2,2.5,Notes Example,notes,EX04,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can represent velocity with arrows that show both speed and direction.,representation translation,worked example,constructed-response,instructional,180,figures/unit2-distance-time-graphs.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-YTI04,AP/SCI,Conceptual Physics,2,2.5,Notes YTI,notes,YTI04,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can represent velocity with arrows that show both speed and direction.,representation translation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-EX05,AP/SCI,Conceptual Physics,2,2.5,Notes Example,notes,EX05,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can compare velocity vectors to determine whether an object’s velocity is changing.,develop/evaluate models; representation translation,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S5-NOTE-YTI05,AP/SCI,Conceptual Physics,2,2.5,Notes YTI,notes,YTI05,current-section,U2-MG04,,,,,,,2,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can compare velocity vectors to determine whether an object’s velocity is changing.,develop/evaluate models; representation translation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS1-Q01,AP/SCI,Conceptual Physics,2,2.1,Practice Set 1,practice,PS1-Q01,current-section,U2-MG01,,,,U2-S1-PF01,conceptual_reword,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,modeling; perspective/representation reasoning; explanation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS2-Q01,AP/SCI,Conceptual Physics,2,2.1,Practice Set 2,practice,PS2-Q01,current-section,U2-MG01,,,,U2-S1-PF01,conceptual_reword,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,modeling; perspective/representation reasoning; explanation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS3-Q01,AP/SCI,Conceptual Physics,2,2.1,Practice Set 3,practice,PS3-Q01,current-section,U2-MG01,,,,U2-S1-PF01,conceptual_reword,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,modeling; perspective/representation reasoning; explanation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-XP-Q01,AP/SCI,Conceptual Physics,2,2.1,Extra Practice,practice,XP-Q01,current-section,U2-MG01,,,,U2-S1-PF01,conceptual_reword,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,modeling; perspective/representation reasoning; explanation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS1-Q02,AP/SCI,Conceptual Physics,2,2.1,Practice Set 1,practice,PS1-Q02,current-section,U2-MG01,,,,U2-S1-PF02,reasoning_shift,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can identify the reference frame used in a motion description.,modeling; perspective/representation reasoning; explanation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS2-Q02,AP/SCI,Conceptual Physics,2,2.1,Practice Set 2,practice,PS2-Q02,current-section,U2-MG01,,,,U2-S1-PF02,reasoning_shift,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can identify the reference frame used in a motion description.,modeling; perspective/representation reasoning; explanation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS3-Q02,AP/SCI,Conceptual Physics,2,2.1,Practice Set 3,practice,PS3-Q02,current-section,U2-MG01,,,,U2-S1-PF02,reasoning_shift,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can identify the reference frame used in a motion description.,modeling; perspective/representation reasoning; explanation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-XP-Q02,AP/SCI,Conceptual Physics,2,2.1,Extra Practice,practice,XP-Q02,current-section,U2-MG01,,,,U2-S1-PF02,reasoning_shift,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can identify the reference frame used in a motion description.,modeling; perspective/representation reasoning; explanation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS1-Q03,AP/SCI,Conceptual Physics,2,2.1,Practice Set 1,practice,PS1-Q03,current-section,U2-MG01,,,,U2-S1-PF03,routine_procedural_numeric,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can compare motion from two different points of view and explain why everyday motion is usually described relative to Earth’s surface.,modeling; perspective/representation reasoning; explanation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS2-Q03,AP/SCI,Conceptual Physics,2,2.1,Practice Set 2,practice,PS2-Q03,current-section,U2-MG01,,,,U2-S1-PF03,routine_procedural_numeric,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can compare motion from two different points of view and explain why everyday motion is usually described relative to Earth’s surface.,modeling; perspective/representation reasoning; explanation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-PS3-Q03,AP/SCI,Conceptual Physics,2,2.1,Practice Set 3,practice,PS3-Q03,current-section,U2-MG01,,,,U2-S1-PF03,routine_procedural_numeric,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can compare motion from two different points of view and explain why everyday motion is usually described relative to Earth’s surface.,modeling; perspective/representation reasoning; explanation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
