image_id,toolkit_path,filename,curriculum_unit,curriculum_section,hewitt_chapter,hewitt_subsection_hint,primary_story_role,story_roles,concept_tags,alt_text,caption,what_students_should_notice_candidate,sha256,duplicate_of,source_catalog_path
PHYS-CA9D2E2A037E,images/unit1/PHYS-CA9D2E2A037E__u1_1_from_ch_1_3_sun_earth_moon_scale_diagram.png,u1_1_from_ch_1_3_sun_earth_moon_scale_diagram.png,1,1.1,1,3,model_or_diagram,model_or_diagram; experiment_or_measurement; phenomenon_or_example,orbit,"Correct scale solar and lunar eclipse diagram showing Sun, Moon orbit, and Earth too small to see.","Figure 1.3 Correct scale of solar and lunar eclipses, which shows why a perfect lineup of the Sun, Moon, and Earth is rare. (Eclipses are even rarer because the Moon’s orbit is tilted about 5° from the plane of Earth’s orbit about the Sun.)","Correct scale solar and lunar eclipse diagram showing Sun, Moon orbit, and Earth too small to see.",ca9d2e2a037e0854ad04aa7cf4e5da19776881f47c83b00973ef203a2419147c,,units/unit1/images_1_1/u1_1_from_ch_1_3_sun_earth_moon_scale_diagram.png
PHYS-8B222CED52FE,images/unit1/PHYS-8B222CED52FE__u1_1_from_ch_1_4_coin_moon_distance_ratio.png,u1_1_from_ch_1_4_coin_moon_distance_ratio.png,1,1.1,1,4,model_or_diagram,model_or_diagram; experiment_or_measurement; phenomenon_or_example,,Coin and Moon distance ratio diagram showing similar triangles.,"Figure 1.4 An exercise in ratios: When the coin barely “eclipses” the Moon, the ratio of the diameter of the coin to the distance between you and the coin is equal to the ratio of the diameter of the Moon to the distance between you and the Moon (not to scale here). Measurements give a value of 1/110 for both ratios.",Coin and Moon distance ratio diagram showing similar triangles.,8b222ced52fe227c9c42fcd6bdecd3db4bcff70ba5a1e38bc5feb1c1a34f54d4,,units/unit1/images_1_1/u1_1_from_ch_1_4_coin_moon_distance_ratio.png
PHYS-9A96F2D9C368,images/unit1/PHYS-9A96F2D9C368__u1_1_from_ch_1_5_half_moon_sun_distance_geometry.png,u1_1_from_ch_1_5_half_moon_sun_distance_geometry.png,1,1.1,1,5,model_or_diagram,model_or_diagram; experiment_or_measurement; phenomenon_or_example,,"Half Moon Sun distance geometry diagram showing right triangle with Sun, Half Moon, Earth, 90 degrees, and angle X.","Figure 1.5 When the Moon appears exactly half full, the Sun, Moon, and Earth form a right triangle (not to scale). The hypotenuse is the Earth–Sun distance. By simple trigonometry, the hypotenuse of a right triangle can be found if you know the size of either nonright angle and the length of one side. The Earth–Moon distance is a side of known length. Measure angle X and you can calculate the Earth–Sun distance.","Half Moon Sun distance geometry diagram showing right triangle with Sun, Half Moon, Earth, 90 degrees, and angle X.",9a96f2d9c36886d419942b1758aba26efe9e9d0bf2961f16b067851cf7a9c544,,units/unit1/images_1_1/u1_1_from_ch_1_5_half_moon_sun_distance_geometry.png
PHYS-5DA25DB5B295,images/unit1/PHYS-5DA25DB5B295__u1_1_from_ch_1_6_sun_diameter_measurement.png,u1_1_from_ch_1_6_sun_diameter_measurement.png,1,1.1,1,6,model_or_diagram,model_or_diagram; experiment_or_measurement; comparison; phenomenon_or_example,,Sun diameter measurement diagram using pinhole image and 1 over 110 ratio.,"Figure 1.6 The round spot of light cast by the pinhole is an image of the Sun. Its diameter/distance ratio is the same as the Sun diameter/Sun–Earth distance ratio, 1/110. The Sun’s diameter is 1/110 its distance from Earth.",Sun diameter measurement diagram using pinhole image and 1 over 110 ratio.,5da25db5b295b8588801e95fe091e09d2d0e6c2e925cbf9e586cfb61abd93b21,,units/unit1/images_1_1/u1_1_from_ch_1_6_sun_diameter_measurement.png
PHYS-5CA1F965D292,images/unit1/PHYS-5CA1F965D292__u1_2_from_ch_2_15_support_force_book_and_spring.png,u1_2_from_ch_2_15_support_force_book_and_spring.png,1,1.2,2,15,table_or_data,table_or_data; model_or_diagram,force,Figure 2.15: A table pushes up on a book and a spring pushes up on a hand. Downward and upward force arrows are shown.,Figure 2.15 (Left) The table pushes up on the book with as much force as the downward force of gravity on the book. (Right) The spring pushes up on your hand with as much force as you exert to push down on the spring.,Figure 2.15: A table pushes up on a book and a spring pushes up on a hand. Downward and upward force arrows are shown.,5ca1f965d29226c40d3c533ed6f244d4be5eb4850bee8ad10aabc843dea0defb,,units/unit1/images_1_2/u1_2_from_ch_2_15_support_force_book_and_spring.png
PHYS-7264DA39607E,images/unit1/PHYS-7264DA39607E__u1_2_from_ch_2_16_man_on_scale_support_force.png,u1_2_from_ch_2_16_man_on_scale_support_force.png,1,1.2,2,16,model_or_diagram,model_or_diagram; experiment_or_measurement; phenomenon_or_example,force,Figure 2.16: A person stands on a bathroom scale with gravitational force downward and support force upward.,"Figure 2.16 Your weight is the force you exert on a supporting surface, which when in equilibrium is the gravitational force on you. The scale reading shows both your weight and the support force.",Figure 2.16: A person stands on a bathroom scale with gravitational force downward and support force upward.,7264da39607eb462e6a01cc69242e4a0553cdb9b31efc5da499be0b058ab494c,,units/unit1/images_1_2/u1_2_from_ch_2_16_man_on_scale_support_force.png
PHYS-EBDB211E5BE1,images/unit1/PHYS-EBDB211E5BE1__u1_2_from_ch_2_4a_inertia_tablecloth_pull.png,u1_2_from_ch_2_4a_inertia_tablecloth_pull.png,1,1.2,2,4,table_or_data,table_or_data,inertia,Figure 2.4: A tablecloth is pulled quickly from beneath dishes on a table.,Figure 2.4 Inertia in action.,Figure 2.4: A tablecloth is pulled quickly from beneath dishes on a table.,ebdb211e5be1604dc68f097064bbf27848f7bbaf1093ab78f5133255db86692d,,units/unit1/images_1_2/u1_2_from_ch_2_4a_inertia_tablecloth_pull.png
PHYS-B74B7F006560,images/unit1/PHYS-B74B7F006560__u1_2_from_ch_2_4b_inertia_coin_card_glass.png,u1_2_from_ch_2_4b_inertia_coin_card_glass.png,1,1.2,2,4,phenomenon_or_example,phenomenon_or_example,inertia,Figure 2.5: A hand accelerates a card under a coin above a glass.,Figure 2.5 Examples of inertia.,Figure 2.5: A hand accelerates a card under a coin above a glass.,b74b7f00656041eb8c76b6905a0d9865bd5933a29c71ac205de4e6ca56b1a901,,units/unit1/images_1_2/u1_2_from_ch_2_4b_inertia_coin_card_glass.png
PHYS-1748C659E939,images/unit1/PHYS-1748C659E939__u1_2_from_ch_2_4c_inertia_ball_between_strings.png,u1_2_from_ch_2_4c_inertia_ball_between_strings.png,1,1.2,2,4,phenomenon_or_example,phenomenon_or_example,inertia,Figure 2.5: A massive ball hangs between an upper and lower string.,Figure 2.5 Examples of inertia.,Figure 2.5: A massive ball hangs between an upper and lower string.,1748c659e939d25bf763a62279db0d10d175bad3489144dda594e242a6255a1d,,units/unit1/images_1_2/u1_2_from_ch_2_4c_inertia_ball_between_strings.png
PHYS-54FB729D388D,images/unit1/PHYS-54FB729D388D__u1_2_from_ch_2_4d_inertia_hammer_on_nail.png,u1_2_from_ch_2_4d_inertia_hammer_on_nail.png,1,1.2,2,4,conceptual_reference,conceptual_reference,inertia,Figure 2.5: A hammer moves downward and stops suddenly on a block.,Figure 2.5 Examples of inertia.,Figure 2.5: A hammer moves downward and stops suddenly on a block.,54fb729d388dfe87d2cd2ea23dc8cdeff9c81aea115004fb25dffa4a73737188,,units/unit1/images_1_2/u1_2_from_ch_2_4d_inertia_hammer_on_nail.png
PHYS-33C49CFE6A49,images/unit1/PHYS-33C49CFE6A49__u1_4_from_ch_2_pp_equilibrium_scaffold_four_panel.png,u1_4_from_ch_2_pp_equilibrium_scaffold_four_panel.png,1,1.2,2,pp,phenomenon_or_example,phenomenon_or_example,equilibrium,Personal Essay illustration: four scaffold panels showing changing rope tension and equilibrium.,Personal Essay illustration showing scaffold-tension reasoning and equilibrium.,Personal Essay illustration: four scaffold panels showing changing rope tension and equilibrium.,33c49cfe6a49ea29de7ac1703ae1826ea27d9513171fe0a8bf581514e1836947,,units/unit1/images_1_2/u1_4_from_ch_2_pp_equilibrium_scaffold_four_panel.png
PHYS-5C23E8EEAEA8,images/unit1/PHYS-5C23E8EEAEA8__u1_2_from_ch_2_6_net_force_applied_forces_table.png,u1_2_from_ch_2_6_net_force_applied_forces_table.png,1,1.3,2,6,table_or_data,table_or_data; model_or_diagram,force,"Figure 2.6: Applied forces combine to produce net forces of 10 N, 0 N, and 5 N.",Figure 2.6 Net force (a force of 5 N is about 1.1 lb).,"Figure 2.6: Applied forces combine to produce net forces of 10 N, 0 N, and 5 N.",5c23e8eeaea8bf4c54533365e9149ea99f6789929323f1eee1a68fcb776fc84d,,units/unit1/images_1_3/u1_2_from_ch_2_6_net_force_applied_forces_table.png
PHYS-F1137C742CAA,images/unit1/PHYS-F1137C742CAA__u1_3_from_ch_2_10_resultant_30N_40N_50N_forces.png,u1_3_from_ch_2_10_resultant_30N_40N_50N_forces.png,1,1.3,2,10,model_or_diagram,model_or_diagram,force; vector,Figure 2.10: A 30-N vector and 40-N vector produce a 50-N resultant.,Figure 2.10 The resultant of the 30-N and 40-N forces is 50 N.,Figure 2.10: A 30-N vector and 40-N vector produce a 50-N resultant.,f1137c742caa458f0919791226419321b0bf263860398266b61eee3491c9f9ef,,units/unit1/images_1_3/u1_3_from_ch_2_10_resultant_30N_40N_50N_forces.png
PHYS-ECA638594CC9,images/unit1/PHYS-ECA638594CC9__u1_3_from_ch_2_8_vector_addition_right_angle_components.png,u1_3_from_ch_2_8_vector_addition_right_angle_components.png,1,1.3,2,8,model_or_diagram,model_or_diagram; comparison,vector,Figure 2.8: Perpendicular vectors form a rectangle whose diagonal is the resultant.,"Figure 2.8 The pair of vectors at right angles to each other make two sides of a rectangle, the diagonal of which is their resultant.",Figure 2.8: Perpendicular vectors form a rectangle whose diagonal is the resultant.,eca638594cc92ee77653d286abc2c22c022d7cab8e6618120d10ee39dc6d607f,,units/unit1/images_1_3/u1_3_from_ch_2_8_vector_addition_right_angle_components.png
PHYS-2EC4ABF93A6F,images/unit1/PHYS-2EC4ABF93A6F__u1_3_from_ch_2_9_perpendicular_vectors_45_degrees_sqrt2.png,u1_3_from_ch_2_9_perpendicular_vectors_45_degrees_sqrt2.png,1,1.3,2,9,model_or_diagram,model_or_diagram,vector,Figure 2.9: Equal perpendicular vectors form a square with a resultant diagonal of square root of 2 times either side.,"Figure 2.9 When a pair of equal-length vectors at right angles to each other are added, they form a square. The diagonal of the square is the resultant, √2 times the length of either side.",Figure 2.9: Equal perpendicular vectors form a square with a resultant diagonal of square root of 2 times either side.,2ec4abf93a6f2303547111c0d18740baebc458fa0be142f2c614f902aa1c08d3,,units/unit1/images_1_3/u1_3_from_ch_2_9_perpendicular_vectors_45_degrees_sqrt2.png
PHYS-15C8D0E3F482,images/unit1/PHYS-15C8D0E3F482__u1_4_from_ch_2_11_girl_on_rings_three_positions_abc.png,u1_4_from_ch_2_11_girl_on_rings_three_positions_abc.png,1,1.3,2,11,model_or_diagram,model_or_diagram; process_or_sequence; historical_story,vector,Figure 2.11: Nellie Newton hanging from a clothesline with vector construction showing rope tensions.,"Figure 2.11 (a) The force due to gravity on Nellie is shown by the downward vertical vector. An equal and opposite vector is needed for equilibrium, shown by the dashed vector. (b) This dashed vector is the diagonal of a parallelogram defined by the green lines. (c) Both rope tensions are shown by the constructed vectors. Tension is greater in the right rope, the one more likely to break.",Figure 2.11: Nellie Newton hanging from a clothesline with vector construction showing rope tensions.,15c8d0e3f482f6f8cafa06258dca6cb83c285db6c4e1bb67a6ab6da2b539426f,,units/unit1/images_1_3/u1_4_from_ch_2_11_girl_on_rings_three_positions_abc.png
PHYS-B094215EA3FC,images/unit1/PHYS-B094215EA3FC__u1_4_from_ch_2_12_girl_on_rings_two_positions_tension.png,u1_4_from_ch_2_12_girl_on_rings_two_positions_tension.png,1,1.4,2,12,comparison,comparison; process_or_sequence,,Check Point illustration: a gymnast hangs from rings with her weight evenly divided and then with more weight supported by the left ring.,Check Point illustration The gymnast hanging from the rings in two positions.,Check Point illustration: a gymnast hangs from rings with her weight evenly divided and then with more weight supported by the left ring.,b094215ea3fc8d03539da95e84c17b892cee42a1645b22d40334789364dbe9d3,,units/unit1/images_1_4/u1_4_from_ch_2_12_girl_on_rings_two_positions_tension.png
PHYS-B6D46ACCB666,images/unit1/PHYS-B6D46ACCB666__u1_4_from_ch_2_14_equilibrium_rule_scaffold_force_diagram.png,u1_4_from_ch_2_14_equilibrium_rule_scaffold_force_diagram.png,1,1.4,2,14,model_or_diagram,model_or_diagram,force; equilibrium; vector,Figure 2.14: Force vectors on a sign-painting scaffold show upward forces balancing downward forces.,Figure 2.14 The sum of the upward forces equals the sum of the downward forces. ΣF = 0 and the scaffold is in equilibrium.,Figure 2.14: Force vectors on a sign-painting scaffold show upward forces balancing downward forces.,b6d46accb6668c9833d7181939c146ab030945e7f73ab66320f5da0952332f6a,,units/unit1/images_1_4/u1_4_from_ch_2_14_equilibrium_rule_scaffold_force_diagram.png
PHYS-052FC46E3600,images/unit1/PHYS-052FC46E3600__u1_4_from_ch_2_pp_scaffold_positions_500N_170N_0N.png,u1_4_from_ch_2_pp_scaffold_positions_500N_170N_0N.png,1,1.4,2,pp,experiment_or_measurement,experiment_or_measurement; process_or_sequence,,"Practicing Physics: three scaffold scale-reading situations with left readings of 500 N, 170 N, and 0 N.",Practicing Physics Burl on the sign-painting scaffold in three positions.,"Practicing Physics: three scaffold scale-reading situations with left readings of 500 N, 170 N, and 0 N.",052fc46e36001b8c1913bede1c29f64e5839263f04d351b74210bdbba2384bc8,,units/unit1/images_1_4/u1_4_from_ch_2_pp_scaffold_positions_500N_170N_0N.png
PHYS-EF34AE664F90,images/unit2/PHYS-EF34AE664F90__unit2-distance-time-graphs.png,unit2-distance-time-graphs.png,2,,,,graph_or_data,graph_or_data; experiment_or_measurement,,Five distance time graphs labeled A through E,,Five distance time graphs labeled A through E.,ef34ae664f901f221e8e32891b5c5beae147571b57aaa272dc068d18b2a4fa85,,units/unit2/figures/unit2-distance-time-graphs.png
PHYS-16CF98465B9D,images/unit2/PHYS-16CF98465B9D__unit2-flawed-freefall-graph.png,unit2-flawed-freefall-graph.png,2,,,,misconception_or_critique,misconception_or_critique; graph_or_data; comparison; phenomenon_or_example,free fall,Flawed dropped ball graph compared to a free fall pattern,,Flawed dropped ball graph compared to a free fall pattern.,16cf98465b9d03bb6626acd5b8e123aa4244bff5ad8ba7cebd365243a80395b2,,units/unit2/figures/unit2-flawed-freefall-graph.png
PHYS-547DA9DA940B,images/unit2/PHYS-547DA9DA940B__unit2-free-fall-speed-pattern.png,unit2-free-fall-speed-pattern.png,2,,,,graph_or_data,graph_or_data,speed; free fall,Free fall speed pattern bar graph,,Free fall speed pattern bar graph.,547da9da940beb52e4cf6cf94b8f6b4cc5d87cfa61cf54332c1f80232163ae90,,units/unit2/figures/unit2-free-fall-speed-pattern.png
PHYS-836DAB15CFD1,images/unit2/PHYS-836DAB15CFD1__unit2-motion-diagram-spacing.png,unit2-motion-diagram-spacing.png,2,,,,model_or_diagram,model_or_diagram; comparison,motion,Three motion diagrams with different dot spacing patterns,,Three motion diagrams with different dot spacing patterns.,836dab15cfd119304dd64a01d6dce821afb34e7d1f3c465f3fd9b6184f3eecd5,,units/unit2/figures/unit2-motion-diagram-spacing.png
PHYS-8403B9F46123,images/unit2/PHYS-8403B9F46123__unit2-reference-frame-bus.png,unit2-reference-frame-bus.png,2,,,,model_or_diagram,model_or_diagram,,Bus moving relative to a road observer with a student inside | Bus and observer reference frame diagram,,Bus moving relative to a road observer with a student inside | Bus and observer reference frame diagram.,8403b9f46123dac0a36359c2c30a0b41ca5085496d6f0840d506086cd8353ffb,,units/unit2/figures/unit2-reference-frame-bus.png
PHYS-7179793B8074,images/unit2/PHYS-7179793B8074__unit2-velocity-time-pattern.png,unit2-velocity-time-pattern.png,2,,,,graph_or_data,graph_or_data; comparison,velocity,Velocity time graph increasing by two meters per second every second,,Velocity time graph increasing by two meters per second every second.,7179793b80747d80b4e0b3f8cd4294eef23a855dcc92d0d65c3a5006be0e0565,,units/unit2/figures/unit2-velocity-time-pattern.png
PHYS-44DC9441BA60,images/unit2/PHYS-44DC9441BA60__unit2-velocity-vector-turn.png,unit2-velocity-vector-turn.png,2,,,,model_or_diagram,model_or_diagram,vector; velocity,Velocity vectors changing direction from east to north,,Velocity vectors changing direction from east to north.,44dc9441ba6076610431b10df4c6b5efa60e9927f67610f3b4e82c4b1836acfb,,units/unit2/figures/unit2-velocity-vector-turn.png
PHYS-07FF852192BD,images/unit2/PHYS-07FF852192BD__u2_1_from_ch_3_1_earth_orbiting_sun_motion_is_relative.png,u2_1_from_ch_3_1_earth_orbiting_sun_motion_is_relative.png,2,2.1,3,1,model_or_diagram,model_or_diagram; phenomenon_or_example,motion; orbit,"Figure 3.1: Earth moves around the Sun, illustrating motion relative to a frame of reference.","Figure 3.1 When you sit on a chair, your speed is zero relative to Earth but 30 km/s relative to the Sun.","Figure 3.1: Earth moves around the Sun, illustrating motion relative to a frame of reference.",07ff852192bd6013f20b52d14a5bb8c1c3ce887d4bd88ec97152bedf005d488c,,units/unit2/images_2_1/u2_1_from_ch_3_1_earth_orbiting_sun_motion_is_relative.png
PHYS-AC99ADB32B41,images/unit2/PHYS-AC99ADB32B41__u2_1_from_ch_3_4_motorcycle_three_scenarios_inertia.png,u2_1_from_ch_3_4_motorcycle_three_scenarios_inertia.png,2,2.2,3,4,phenomenon_or_example,phenomenon_or_example,inertia,Figure 3.3: Car moving around a circular track while its direction changes.,"Figure 3.3 The car on the circular track may have a constant speed, but its velocity is changing every instant. Why?",Figure 3.3: Car moving around a circular track while its direction changes.,ac99adb32b410380914e8886ed7faa39f3fdb1cc1fde8eb8f3dac74859f7c93b,,units/unit2/images_2_2/u2_1_from_ch_3_4_motorcycle_three_scenarios_inertia.png
PHYS-47E451868F45,images/unit2/PHYS-47E451868F45__u2_1_from_ch_3_5_car_stops_suddenly_person_flies_forward.png,u2_1_from_ch_3_5_car_stops_suddenly_person_flies_forward.png,2,2.3,3,5,phenomenon_or_example,phenomenon_or_example,acceleration; speed,"Figure 3.4: Three motorcycle scenes showing acceleration by speeding up, slowing down, and changing direction.",Figure 3.4 We say that a body is accelerating when its velocity is changing.,"Figure 3.4: Three motorcycle scenes showing acceleration by speeding up, slowing down, and changing direction.",47e451868f450f7846ba62636064e70b78ac370e60847c7a0e65e0f3229357fe,,units/unit2/images_2_3/u2_1_from_ch_3_5_car_stops_suddenly_person_flies_forward.png
PHYS-919926B19A71,images/unit2/PHYS-919926B19A71__u2_2_from_ch_3_3_car_on_circular_track_constant_speed.png,u2_2_from_ch_3_3_car_on_circular_track_constant_speed.png,2,2.3,3,3,historical_story,historical_story; phenomenon_or_example,speed,Figure 3.5: A car stops suddenly and the driver lurches forward.,"Figure 3.5 Rapid deceleration is sensed by the driver, who seems to lurch forward (in accord with Newton’s first law).",Figure 3.5: A car stops suddenly and the driver lurches forward.,919926b19a7192dc3daee8c37856d552bf5a46cec3ab2bf2200625a6fafbc128,,units/unit2/images_2_3/u2_2_from_ch_3_3_car_on_circular_track_constant_speed.png
PHYS-1ED633405212,images/unit2/PHYS-1ED633405212__u2_4_from_ch_3_6_galileo_inclined_planes_steeper_angles.png,u2_4_from_ch_3_6_galileo_inclined_planes_steeper_angles.png,2,2.3,3,6,historical_story,historical_story; phenomenon_or_example,acceleration; free fall,"Figure 3.6: Balls roll down steeper inclined planes with increasing acceleration, ending with vertical free fall.","Figure 3.6 INTERACTIVE FIGURE The steeper the slope of the incline, the greater the acceleration of the ball. What is the ball’s acceleration if it falls vertically?","Figure 3.6: Balls roll down steeper inclined planes with increasing acceleration, ending with vertical free fall.",1ed63340521223a6ae9f4e215885dcfefc08b792b0e12cc464d21675ae4b7fed,,units/unit2/images_2_3/u2_4_from_ch_3_6_galileo_inclined_planes_steeper_angles.png
PHYS-70D66F7D9D64,images/unit2/PHYS-70D66F7D9D64__u2_2_from_ch_3_4_speed_velocity_acceleration_summary.png,u2_2_from_ch_3_4_speed_velocity_acceleration_summary.png,2,2.4,3,4,conceptual_reference,conceptual_reference,motion; acceleration; velocity; speed,"Figure 3.11: Motion analysis comparing speed, velocity, and acceleration examples.",Figure 3.11 Motion analysis.,"Figure 3.11: Motion analysis comparing speed, velocity, and acceleration examples.",70d66f7d9d64649c31df2bcec84addd346f55efa2210763730c9274c3e317cdc,,units/unit2/images_2_4/u2_2_from_ch_3_4_speed_velocity_acceleration_summary.png
PHYS-98A36ECA0C00,images/unit2/PHYS-98A36ECA0C00__u2_4_from_ch_3_10_vacuum_tube_coin_feather_equal_fall.png,u2_4_from_ch_3_10_vacuum_tube_coin_feather_equal_fall.png,2,2.4,3,10,conceptual_reference,conceptual_reference,acceleration,Figure 3.10: A vacuum tube containing a feather and coin falling with equal acceleration.,Figure 3.10 A feather and a coin fall at equal accelerations in a vacuum.,Figure 3.10: A vacuum tube containing a feather and coin falling with equal acceleration.,98a36eca0c006282d1ea34768754eb7b9940af3029c790d834c9daa95dbaa2f0,,units/unit2/images_2_4/u2_4_from_ch_3_10_vacuum_tube_coin_feather_equal_fall.png
PHYS-C4A301190D15,images/unit2/PHYS-C4A301190D15__u2_4_from_ch_3_11_ball_thrown_up_velocity_t0_to_t7.png,u2_4_from_ch_3_11_ball_thrown_up_velocity_t0_to_t7.png,2,2.4,3,11,experiment_or_measurement,experiment_or_measurement; comparison; phenomenon_or_example,velocity,Figure 3.8: A ball thrown upward and falling back down with velocity labels at equal times.,Figure 3.8 INTERACTIVE FIGURE The rate at which the velocity changes each second is the same.,Figure 3.8: A ball thrown upward and falling back down with velocity labels at equal times.,c4a301190d151f1326d33aad3385fc7117fb7437c3ed2ab8f6742eda2d3bd496,,units/unit2/images_2_4/u2_4_from_ch_3_11_ball_thrown_up_velocity_t0_to_t7.png
