version_family,versions,question,source_formative_family,section,dok,adaptation_type
V1–V4,1–4,18,u07-dok2-3/u07-dok2-4 + Unit 7 summative plan,7.4–7.5,DOK 2–3,multistep power/energy/equivalent-resistance FR
V1–V4,1–4,19,u07-dok3-3/u07-dok3-4/u07-dok4-1,7.3–7.5,DOK 3,graph/circuit/model explanation FR
V1–V4,1–4,20,u07-dok4-2/u07-dok4-3/u07-dok4-4,7.4–7.5,DOK 4,context-rich safety/energy/claim CER FR
V5–V6,5–6,1,u07-dok1-1,7.1,DOK 1,charge-interaction recognition adaptation
V5–V6,5–6,2,u07-dok1-2,7.1,DOK 1,conductor/insulator/charging-process recognition adaptation
V5–V6,5–6,3,u07-dok1-3,7.2–7.3,DOK 1,voltage/current/resistance language adaptation
V5–V6,5–6,4,u07-dok1-1/u07-dok1-2/u07-dok1-4,7.1–7.5,DOK 1,electricity/circuit vocabulary recognition adaptation
V5–V6,5–6,5,u07-dok1-4,7.5,DOK 1,series/parallel/mixed/open/short topology recognition adaptation
V5–V6,5–6,6,u07-dok2-1,7.1,DOK 2,Coulomb proportional reasoning adaptation
V5–V6,5–6,7,u07-dok2-2,7.3,DOK 2,Ohm law calculation/data adaptation
V5–V6,5–6,8,u07-dok2-2 + Unit 7 formula plan,7.2–7.3,DOK 2,current or voltage/energy-per-charge formula adaptation
V5–V6,5–6,9,u07-dok2-3,7.4,DOK 2,power/energy calculation adaptation
V5–V6,5–6,10,u07-dok2-4,7.5,DOK 2,equivalent resistance calculation adaptation
V5–V6,5–6,11,u07-dok2-4,7.5,DOK 2,series/parallel circuit comparison adaptation
V5–V6,5–6,12,u07-dok3-1,7.1,DOK 3,static-charge misconception correction adaptation
V5–V6,5–6,13,u07-dok3-2,7.2–7.3,DOK 3,voltage/current/energy misconception analysis adaptation
V5–V6,5–6,14,u07-dok3-3,7.3,DOK 3,Ohm graph interpretation/explanation adaptation
V5–V6,5–6,15,u07-dok3-4,7.5,DOK 3,circuit brightness/path reasoning adaptation
V5–V6,5–6,16,u07-dok4-1/u07-dok4-2/u07-dok4-3/u07-dok4-4,7.3–7.5,DOK 4,model/design/audit/claim evaluation adaptation
V5–V6,5–6,17,u07-dok2-1/u07-dok2-2 + Unit 7 summative plan,7.1–7.3,DOK 2–3,multistep charge/voltage/current/Ohm/Coulomb formula FR
V5–V6,5–6,18,u07-dok2-3/u07-dok2-4 + Unit 7 summative plan,7.4–7.5,DOK 2–3,multistep power/energy/equivalent-resistance FR
V5–V6,5–6,19,u07-dok3-3/u07-dok3-4/u07-dok4-1,7.3–7.5,DOK 3,graph/circuit/model explanation FR
V5–V6,5–6,20,u07-dok4-2/u07-dok4-3/u07-dok4-4,7.4–7.5,DOK 4,context-rich safety/energy/claim CER FR
V7–V8,7–8,1,u07-dok1-1,7.1,DOK 1,charge-interaction recognition adaptation
V7–V8,7–8,2,u07-dok1-2,7.1,DOK 1,conductor/insulator/charging-process recognition adaptation
V7–V8,7–8,3,u07-dok1-3,7.2–7.3,DOK 1,voltage/current/resistance language adaptation
V7–V8,7–8,4,u07-dok1-1/u07-dok1-2/u07-dok1-4,7.1–7.5,DOK 1,electricity/circuit vocabulary recognition adaptation
V7–V8,7–8,5,u07-dok1-4,7.5,DOK 1,series/parallel/mixed/open/short topology recognition adaptation
V7–V8,7–8,6,u07-dok2-1,7.1,DOK 2,Coulomb proportional reasoning adaptation
V7–V8,7–8,7,u07-dok2-2,7.3,DOK 2,Ohm law calculation/data adaptation
V7–V8,7–8,8,u07-dok2-2 + Unit 7 formula plan,7.2–7.3,DOK 2,current or voltage/energy-per-charge formula adaptation
V7–V8,7–8,9,u07-dok2-3,7.4,DOK 2,power/energy calculation adaptation
V7–V8,7–8,10,u07-dok2-4,7.5,DOK 2,equivalent resistance calculation adaptation
V7–V8,7–8,11,u07-dok2-4,7.5,DOK 2,series/parallel circuit comparison adaptation
V7–V8,7–8,12,u07-dok3-1,7.1,DOK 3,static-charge misconception correction adaptation
V7–V8,7–8,13,u07-dok3-2,7.2–7.3,DOK 3,voltage/current/energy misconception analysis adaptation
V7–V8,7–8,14,u07-dok3-3,7.3,DOK 3,Ohm graph interpretation/explanation adaptation
V7–V8,7–8,15,u07-dok3-4,7.5,DOK 3,circuit brightness/path reasoning adaptation
V7–V8,7–8,16,u07-dok4-1/u07-dok4-2/u07-dok4-3/u07-dok4-4,7.3–7.5,DOK 4,model/design/audit/claim evaluation adaptation
V7–V8,7–8,17,u07-dok2-1/u07-dok2-2 + Unit 7 summative plan,7.1–7.3,DOK 2–3,multistep charge/voltage/current/Ohm/Coulomb formula FR
V7–V8,7–8,18,u07-dok2-3/u07-dok2-4 + Unit 7 summative plan,7.4–7.5,DOK 2–3,multistep power/energy/equivalent-resistance FR
V7–V8,7–8,19,u07-dok3-3/u07-dok3-4/u07-dok4-1,7.3–7.5,DOK 3,graph/circuit/model explanation FR
V7–V8,7–8,20,u07-dok4-2/u07-dok4-3/u07-dok4-4,7.4–7.5,DOK 4,context-rich safety/energy/claim CER FR
