bank_id,section,destination,priority_phase,issue_category,issue_severity,original_status,repair_action,student_prompt_changed,answer_changed,figure_or_table_changed,metadata_changed,original_prompt_hash,final_prompt_hash,validation_method,final_status,notes
U1-S1-PS2-Q17,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,17b5eee82e6b959e85d38fde82ef8f0d567d7fc01820d599bdd6f78cbe7c5fab,f91d685ad5dda62a5e1ffcfc181eac367a49e722f4cd513719ff77dfd2897b29,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS2-Q18,1.1,Practice Set 2,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,NO,NO,NO,1386c7c9ac50822ac6a3e550771023df0c2e66fabb0b57bdba47fa1d746e26e6,ef832a7b9f44d515b49ec7e888de19032be7846ab319d19aaf22598f1960c217,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q10,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,YES,NO,NO,adbd662eeb0aad9f9955c664e77a720d2f23bea649d4c3e82b1a124401968b7e,05a3748dec8baa84fc45d21f71242cb2e56b8b35d029f93eb46f4c235ec90a66,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q11,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,d3cbb42ee97ece229881c1a64b57365fc596416888ac9a2ef4d823db73064bd4,8b9c1d31ea713506d37226f870d72af7ff6036e5d603428bdb0fa541b7fdd669,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q12,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,BLOCKER,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Fixed duplicated terminal punctuation in student-facing prompt.,YES,NO,NO,NO,600927d4856ff3224dfad1923d4d45c7cbe73b43fcc542546261fc6110629160,2b4b88b1ff3070c1141370db65ec66969af93af005092669ca737edb83607514,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q13,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,NO,NO,NO,758677f06b7e8846e7958cd34a8d4f17dc6f0656c67d24200cc62bca76345252,59af308d0fb88fb148ae272f047d591ee499bf73636b67aa9b1e63d83956dccc,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q14,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,YES,NO,NO,7debba2f077d4da3705ec129990acdd023d707fc93c0348b09978b682b8c88e6,070f4bebadf9d07d2c8ac58a9c21eae2b73c25abb5bfb5b7f1072928fadf296a,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q15,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,7a73b81e6fdf2804cdf67a8856a9f582390b17b6f3e5e263642888a31866c3df,c5d785d39a973a210e1719e36b8a79e54e529283cbd4957554241472f96bce44,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q16,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key. | Removed overused supplied-student-proposal scaffold; restored the family to a direct data/model/calculation task natural to the Physics content. | Resolved an exact parallel-form prompt collision with a family-specific task variation rather than a generic wrapper.,YES,YES,NO,YES,6da418d799cbda434a52301c7ce1c0d2fc85d476da7120f3fe5848d91e4d4c7d,a710a0cef81371062d7b18063194d99b1f0fb4f3a1b0926366fd3e590a11fb55,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q17,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,NO,NO,NO,ce5c68632479ce622353101408521af2dbf34d60d8b4c19144fde6848b45cedf,07c36e9e1bcc88978c21a296598df96effa5cb1620eb7859a84b3fb4b7c80bec,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-PS3-Q18,1.1,Practice Set 3,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,NO,NO,NO,bb17530b01ee15fbddc7b8bb5f781df2249861f06cd12dea995b64f02033b65e,159dfc419b765fb18b65e274d0b0d94fa456ad5f69359e98de7d9cbc6ee4e69d,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-WTC01,1.1,What's To Come,PHASE 1 — WTC,WTC correctness,MAJOR QUALITY DEFECT,REPAIR,Corrected WTC inference so repeated total travel times are not misused as evidence of constant speed.,NO,YES,NO,NO,8f15b3b1d4318750382e04637dcc7b1e43d52ad10fe4ebda061fd694ee70eb5c,8f15b3b1d4318750382e04637dcc7b1e43d52ad10fe4ebda061fd694ee70eb5c,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
U1-S1-XP-Q03,1.1,Extra Practice,PHASE 3 — PRACTICE / CYU,structural scaffold / prompt variety,MAJOR QUALITY DEFECT,REPAIR,Replaced stock cross-family reasoning wrapper with a task-specific family-level reasoning prompt/key.,YES,YES,NO,NO,a53e814f61a8453f0fd70c85461d99f1d9afcb3e4fe5f69dabf68ee81097c3d0,4016e96e7da067e08c607f480b52b0b08a300b84b9a67894f3d688818caa9ebb,Assessment Plan + Framework section packets; family-level semantic QA; selected-response one-best-answer/position QA; Framework ~fix_mathjax_v8.py; Framework ~audit_bank_package_v3.py; custom v3 structural/table/grammar/security QA,PASS,Stable Bank ID preserved; machine and human-readable representations synchronized.
