bank_id,summative_version,question_number,i_can_id,i_can,evidence_job,structure_id,response_mode,representation_mode,representation_required,question_family_id,variant_role,seed_slot_id,source_basis
U1-SUM-V1-Q01,V1,1,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",distinguish observation from inference from a concise evidence scenario,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic1-distinguish-observation-inference-concise-evidence-scenario,seed,,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: distinguish observation from inference from a concise evidence scenario
U1-SUM-V1-Q14,V1,14,U1-S3-IC3,I can identify the resultant force from a simple vector diagram and use arrow length and direction to compare force strength and direction.,rank force diagrams by net-force magnitude,PHYS-RANK-COMPARE-QUANTITIES-01,selected_response,vector_diagram_set,true,u1-s3-ic3-rank-force-diagrams-by-net-force-magnitude,seed,,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: rank force diagrams by net-force magnitude
U1-SUM-V1-Q15,V1,15,U1-S4-IC1,I can recognize static equilibrium and dynamic equilibrium.,recognize equilibrium despite nonzero constant velocity,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s4-ic1-recognize-equilibrium-despite-nonzero-constant-velocity,seed,,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: recognize equilibrium despite nonzero constant velocity
U1-SUM-V1-Q16,V1,16,U1-S5-IC2,I can decide whether the forces are balanced or unbalanced.,connect balanced/unbalanced classification to net-force evidence,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram_motion,true,u1-s5-ic2-connect-balanced-unbalanced-classification-net-force-evidence,seed,,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: connect balanced/unbalanced classification to net-force evidence
U1-SUM-V1-Q17,V1,17,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",evaluate an explanation using a compact evidence/model set and interpret the relationship physically,CER-CLAIM-EVIDENCE-REASONING-01,constructed_response,evidence_set,true,u1-s1-ic3-evaluate-explanation-evidence-model-set-interpret-relationship-physically,seed,,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: evaluate an explanation using a compact evidence/model set and interpret the relationship physically
U1-SUM-V1-Q18,V1,18,U1-S4-IC3,I can explain why an object moving at constant speed in a straight line can be in equilibrium and use the equilibrium rule to reason about upward/downward and left/right forces.,use equilibrium reasoning to infer a missing force and explain the motion implication,FORMULA-INVERSE-VARIABLE-01,constructed_response,force_diagram,true,u1-s4-ic3-equilibrium-reasoning-infer-missing-force-explain-motion-implication,seed,,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: use equilibrium reasoning to infer a missing force and explain the motion implication
U1-SUM-V1-Q19,V1,19,U1-S5-IC1,I can draw a force diagram for an object in a real-world situation.,construct a force diagram for a clearly defined real-world object/system,FREEBODY-DIAGRAM-CONSTRUCT-01,constructed_response,student_constructed_force_diagram,true,u1-s5-ic1-construct-force-diagram-clearly-defined-real-world-object-system,seed,,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: construct a force diagram for a clearly defined real-world object/system
U1-SUM-V1-Q20,V1,20,U1-S5-IC3,I can explain how the net force affects the object’s motion and critique an incorrect force explanation and revise it using physics vocabulary.,critique and revise a force explanation/model so net force and motion are consistent,REPRESENTATION-CONSTRUCT-OR-CRITIQUE-01,constructed_response,flawed_force_diagram,true,u1-s5-ic3-critique-revise-force-explanation-model-so-net-force-motion-are,seed,,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: critique and revise a force explanation/model so net force and motion are consistent
U1-SUM-V2-Q01,V2,1,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",distinguish observation from inference from a concise evidence scenario,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic1-distinguish-observation-inference-concise-evidence-scenario,parallel,U1-SUM-V1-Q01,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: distinguish observation from inference from a concise evidence scenario
U1-SUM-V2-Q02,V2,2,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,identify which claim is scientifically testable,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic2-identify-which-claim-is-scientifically-testable,parallel,U1-SUM-V1-Q02,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: identify which claim is scientifically testable
U1-SUM-V2-Q03,V2,3,U1-S2-IC1,I can state Newton’s First Law in everyday language.,apply Newton First Law to predict unchanged motion,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s2-ic1-apply-newton-first-law-predict-unchanged-motion,parallel,U1-SUM-V1-Q03,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: apply Newton First Law to predict unchanged motion
U1-SUM-V2-Q04,V2,4,U1-S2-IC2,"I can explain that inertia is a property of matter, not a force.",reject inertia-as-force reasoning,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s2-ic2-reject-inertia-as-force-reasoning,parallel,U1-SUM-V1-Q04,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: reject inertia-as-force reasoning
U1-SUM-V2-Q05,V2,5,U1-S2-IC3,"I can distinguish between “no forces acting” and “no net force acting.” and identify support force, weight, and other common forces in simple situations.",distinguish no forces from zero net force using a force model,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram,true,u1-s2-ic3-distinguish-no-forces-zero-net-force-force-model,parallel,U1-SUM-V1-Q05,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: distinguish no forces from zero net force using a force model
U1-SUM-V2-Q06,V2,6,U1-S3-IC1,I can explain why force is a vector quantity.,interpret vector magnitude and direction,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,vector_diagram,true,u1-s3-ic1-interpret-vector-magnitude-direction,parallel,U1-SUM-V1-Q06,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: interpret vector magnitude and direction
U1-SUM-V2-Q07,V2,7,U1-S3-IC2,I can combine forces acting in the same direction or opposite directions.,determine net force in a one-dimensional force combination,FORMULA-DIRECT-RELATIONSHIP-01,selected_response,vector_line,true,u1-s3-ic2-determine-net-force-dimensional-force-combination,parallel,U1-SUM-V1-Q07,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: determine net force in a one-dimensional force combination
U1-SUM-V2-Q08,V2,8,U1-S3-IC3,I can identify the resultant force from a simple vector diagram and use arrow length and direction to compare force strength and direction.,identify resultant force from a scaled vector diagram,REPRESENTATION-READ-THEN-CALCULATE-01,selected_response,vector_diagram,true,u1-s3-ic3-identify-resultant-force-scaled-vector-diagram,parallel,U1-SUM-V1-Q08,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: identify resultant force from a scaled vector diagram
U1-SUM-V2-Q09,V2,9,U1-S4-IC1,I can recognize static equilibrium and dynamic equilibrium.,classify static versus dynamic equilibrium from motion evidence,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s4-ic1-classify-static-versus-dynamic-equilibrium-motion-evidence,parallel,U1-SUM-V1-Q09,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: classify static versus dynamic equilibrium from motion evidence
U1-SUM-V2-Q10,V2,10,U1-S4-IC2,I can explain why an object at rest can still have forces acting on it.,identify why a resting object can have forces acting,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram,true,u1-s4-ic2-identify-why-resting-object-can-have-forces-acting,parallel,U1-SUM-V1-Q10,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: identify why a resting object can have forces acting
U1-SUM-V2-Q11,V2,11,U1-S5-IC2,I can decide whether the forces are balanced or unbalanced.,classify a force model as balanced or unbalanced,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,force_diagram,true,u1-s5-ic2-classify-force-model-as-balanced-unbalanced,parallel,U1-SUM-V1-Q11,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: classify a force model as balanced or unbalanced
U1-SUM-V2-Q12,V2,12,U1-S2-IC3,"I can distinguish between “no forces acting” and “no net force acting.” and identify support force, weight, and other common forces in simple situations.",identify support force and weight on the chosen object,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,force_diagram,true,u1-s2-ic3-identify-support-force-weight-on-chosen-object,parallel,U1-SUM-V1-Q12,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: identify support force and weight on the chosen object
U1-SUM-V2-Q13,V2,13,U1-S3-IC2,I can combine forces acting in the same direction or opposite directions.,reason backward to a missing force from the resultant,FORMULA-INVERSE-VARIABLE-01,selected_response,vector_line,true,u1-s3-ic2-reason-backward-missing-force-resultant,parallel,U1-SUM-V1-Q13,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: reason backward to a missing force from the resultant
U1-SUM-V2-Q14,V2,14,U1-S3-IC3,I can identify the resultant force from a simple vector diagram and use arrow length and direction to compare force strength and direction.,rank force diagrams by net-force magnitude,PHYS-RANK-COMPARE-QUANTITIES-01,selected_response,vector_diagram_set,true,u1-s3-ic3-rank-force-diagrams-by-net-force-magnitude,parallel,U1-SUM-V1-Q14,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: rank force diagrams by net-force magnitude
U1-SUM-V2-Q15,V2,15,U1-S4-IC1,I can recognize static equilibrium and dynamic equilibrium.,recognize equilibrium despite nonzero constant velocity,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s4-ic1-recognize-equilibrium-despite-nonzero-constant-velocity,parallel,U1-SUM-V1-Q15,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: recognize equilibrium despite nonzero constant velocity
U1-SUM-V2-Q16,V2,16,U1-S5-IC2,I can decide whether the forces are balanced or unbalanced.,connect balanced/unbalanced classification to net-force evidence,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram_motion,true,u1-s5-ic2-connect-balanced-unbalanced-classification-net-force-evidence,parallel,U1-SUM-V1-Q16,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: connect balanced/unbalanced classification to net-force evidence
U1-SUM-V2-Q17,V2,17,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",evaluate an explanation using a compact evidence/model set and interpret the relationship physically,CER-CLAIM-EVIDENCE-REASONING-01,constructed_response,evidence_set,true,u1-s1-ic3-evaluate-explanation-evidence-model-set-interpret-relationship-physically,parallel,U1-SUM-V1-Q17,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: evaluate an explanation using a compact evidence/model set and interpret the relationship physically
U1-SUM-V2-Q18,V2,18,U1-S4-IC3,I can explain why an object moving at constant speed in a straight line can be in equilibrium and use the equilibrium rule to reason about upward/downward and left/right forces.,use equilibrium reasoning to infer a missing force and explain the motion implication,FORMULA-INVERSE-VARIABLE-01,constructed_response,force_diagram,true,u1-s4-ic3-equilibrium-reasoning-infer-missing-force-explain-motion-implication,parallel,U1-SUM-V1-Q18,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: use equilibrium reasoning to infer a missing force and explain the motion implication
U1-SUM-V2-Q19,V2,19,U1-S5-IC1,I can draw a force diagram for an object in a real-world situation.,construct a force diagram for a clearly defined real-world object/system,FREEBODY-DIAGRAM-CONSTRUCT-01,constructed_response,student_constructed_force_diagram,true,u1-s5-ic1-construct-force-diagram-clearly-defined-real-world-object-system,parallel,U1-SUM-V1-Q19,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: construct a force diagram for a clearly defined real-world object/system
U1-SUM-V2-Q20,V2,20,U1-S5-IC3,I can explain how the net force affects the object’s motion and critique an incorrect force explanation and revise it using physics vocabulary.,critique and revise a force explanation/model so net force and motion are consistent,REPRESENTATION-CONSTRUCT-OR-CRITIQUE-01,constructed_response,flawed_force_diagram,true,u1-s5-ic3-critique-revise-force-explanation-model-so-net-force-motion-are,parallel,U1-SUM-V1-Q20,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: critique and revise a force explanation/model so net force and motion are consistent
U1-SUM-V3-Q01,V3,1,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",distinguish observation from inference from a concise evidence scenario,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic1-distinguish-observation-inference-concise-evidence-scenario,parallel,U1-SUM-V1-Q01,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: distinguish observation from inference from a concise evidence scenario
U1-SUM-V3-Q02,V3,2,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,identify which claim is scientifically testable,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic2-identify-which-claim-is-scientifically-testable,parallel,U1-SUM-V1-Q02,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: identify which claim is scientifically testable
U1-SUM-V3-Q03,V3,3,U1-S2-IC1,I can state Newton’s First Law in everyday language.,apply Newton First Law to predict unchanged motion,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s2-ic1-apply-newton-first-law-predict-unchanged-motion,parallel,U1-SUM-V1-Q03,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: apply Newton First Law to predict unchanged motion
U1-SUM-V3-Q04,V3,4,U1-S2-IC2,"I can explain that inertia is a property of matter, not a force.",reject inertia-as-force reasoning,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s2-ic2-reject-inertia-as-force-reasoning,parallel,U1-SUM-V1-Q04,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: reject inertia-as-force reasoning
U1-SUM-V3-Q05,V3,5,U1-S2-IC3,"I can distinguish between “no forces acting” and “no net force acting.” and identify support force, weight, and other common forces in simple situations.",distinguish no forces from zero net force using a force model,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram,true,u1-s2-ic3-distinguish-no-forces-zero-net-force-force-model,parallel,U1-SUM-V1-Q05,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: distinguish no forces from zero net force using a force model
U1-SUM-V3-Q06,V3,6,U1-S3-IC1,I can explain why force is a vector quantity.,interpret vector magnitude and direction,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,vector_diagram,true,u1-s3-ic1-interpret-vector-magnitude-direction,parallel,U1-SUM-V1-Q06,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: interpret vector magnitude and direction
U1-SUM-V3-Q07,V3,7,U1-S3-IC2,I can combine forces acting in the same direction or opposite directions.,determine net force in a one-dimensional force combination,FORMULA-DIRECT-RELATIONSHIP-01,selected_response,vector_line,true,u1-s3-ic2-determine-net-force-dimensional-force-combination,parallel,U1-SUM-V1-Q07,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: determine net force in a one-dimensional force combination
U1-SUM-V3-Q08,V3,8,U1-S3-IC3,I can identify the resultant force from a simple vector diagram and use arrow length and direction to compare force strength and direction.,identify resultant force from a scaled vector diagram,REPRESENTATION-READ-THEN-CALCULATE-01,selected_response,vector_diagram,true,u1-s3-ic3-identify-resultant-force-scaled-vector-diagram,parallel,U1-SUM-V1-Q08,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: identify resultant force from a scaled vector diagram
U1-SUM-V3-Q09,V3,9,U1-S4-IC1,I can recognize static equilibrium and dynamic equilibrium.,classify static versus dynamic equilibrium from motion evidence,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s4-ic1-classify-static-versus-dynamic-equilibrium-motion-evidence,parallel,U1-SUM-V1-Q09,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: classify static versus dynamic equilibrium from motion evidence
U1-SUM-V3-Q10,V3,10,U1-S4-IC2,I can explain why an object at rest can still have forces acting on it.,identify why a resting object can have forces acting,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram,true,u1-s4-ic2-identify-why-resting-object-can-have-forces-acting,parallel,U1-SUM-V1-Q10,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: identify why a resting object can have forces acting
U1-SUM-V3-Q11,V3,11,U1-S5-IC2,I can decide whether the forces are balanced or unbalanced.,classify a force model as balanced or unbalanced,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,force_diagram,true,u1-s5-ic2-classify-force-model-as-balanced-unbalanced,parallel,U1-SUM-V1-Q11,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: classify a force model as balanced or unbalanced
U1-SUM-V3-Q12,V3,12,U1-S2-IC3,"I can distinguish between “no forces acting” and “no net force acting.” and identify support force, weight, and other common forces in simple situations.",identify support force and weight on the chosen object,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,force_diagram,true,u1-s2-ic3-identify-support-force-weight-on-chosen-object,parallel,U1-SUM-V1-Q12,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: identify support force and weight on the chosen object
U1-SUM-V3-Q13,V3,13,U1-S3-IC2,I can combine forces acting in the same direction or opposite directions.,reason backward to a missing force from the resultant,FORMULA-INVERSE-VARIABLE-01,selected_response,vector_line,true,u1-s3-ic2-reason-backward-missing-force-resultant,parallel,U1-SUM-V1-Q13,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: reason backward to a missing force from the resultant
U1-SUM-V3-Q14,V3,14,U1-S3-IC3,I can identify the resultant force from a simple vector diagram and use arrow length and direction to compare force strength and direction.,rank force diagrams by net-force magnitude,PHYS-RANK-COMPARE-QUANTITIES-01,selected_response,vector_diagram_set,true,u1-s3-ic3-rank-force-diagrams-by-net-force-magnitude,parallel,U1-SUM-V1-Q14,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: rank force diagrams by net-force magnitude
U1-SUM-V3-Q15,V3,15,U1-S4-IC1,I can recognize static equilibrium and dynamic equilibrium.,recognize equilibrium despite nonzero constant velocity,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s4-ic1-recognize-equilibrium-despite-nonzero-constant-velocity,parallel,U1-SUM-V1-Q15,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: recognize equilibrium despite nonzero constant velocity
U1-SUM-V3-Q16,V3,16,U1-S5-IC2,I can decide whether the forces are balanced or unbalanced.,connect balanced/unbalanced classification to net-force evidence,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram_motion,true,u1-s5-ic2-connect-balanced-unbalanced-classification-net-force-evidence,parallel,U1-SUM-V1-Q16,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: connect balanced/unbalanced classification to net-force evidence
U1-SUM-V3-Q17,V3,17,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",evaluate an explanation using a compact evidence/model set and interpret the relationship physically,CER-CLAIM-EVIDENCE-REASONING-01,constructed_response,evidence_set,true,u1-s1-ic3-evaluate-explanation-evidence-model-set-interpret-relationship-physically,parallel,U1-SUM-V1-Q17,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: evaluate an explanation using a compact evidence/model set and interpret the relationship physically
U1-SUM-V3-Q18,V3,18,U1-S4-IC3,I can explain why an object moving at constant speed in a straight line can be in equilibrium and use the equilibrium rule to reason about upward/downward and left/right forces.,use equilibrium reasoning to infer a missing force and explain the motion implication,FORMULA-INVERSE-VARIABLE-01,constructed_response,force_diagram,true,u1-s4-ic3-equilibrium-reasoning-infer-missing-force-explain-motion-implication,parallel,U1-SUM-V1-Q18,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: use equilibrium reasoning to infer a missing force and explain the motion implication
U1-SUM-V3-Q19,V3,19,U1-S5-IC1,I can draw a force diagram for an object in a real-world situation.,construct a force diagram for a clearly defined real-world object/system,FREEBODY-DIAGRAM-CONSTRUCT-01,constructed_response,student_constructed_force_diagram,true,u1-s5-ic1-construct-force-diagram-clearly-defined-real-world-object-system,parallel,U1-SUM-V1-Q19,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: construct a force diagram for a clearly defined real-world object/system
U1-SUM-V3-Q20,V3,20,U1-S5-IC3,I can explain how the net force affects the object’s motion and critique an incorrect force explanation and revise it using physics vocabulary.,critique and revise a force explanation/model so net force and motion are consistent,REPRESENTATION-CONSTRUCT-OR-CRITIQUE-01,constructed_response,flawed_force_diagram,true,u1-s5-ic3-critique-revise-force-explanation-model-so-net-force-motion-are,parallel,U1-SUM-V1-Q20,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: critique and revise a force explanation/model so net force and motion are consistent
U1-SUM-V4-Q01,V4,1,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",distinguish observation from inference from a concise evidence scenario,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic1-distinguish-observation-inference-concise-evidence-scenario,parallel,U1-SUM-V1-Q01,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: distinguish observation from inference from a concise evidence scenario
U1-SUM-V4-Q02,V4,2,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,identify which claim is scientifically testable,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic2-identify-which-claim-is-scientifically-testable,parallel,U1-SUM-V1-Q02,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: identify which claim is scientifically testable
U1-SUM-V4-Q03,V4,3,U1-S2-IC1,I can state Newton’s First Law in everyday language.,apply Newton First Law to predict unchanged motion,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s2-ic1-apply-newton-first-law-predict-unchanged-motion,parallel,U1-SUM-V1-Q03,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: apply Newton First Law to predict unchanged motion
U1-SUM-V4-Q04,V4,4,U1-S2-IC2,"I can explain that inertia is a property of matter, not a force.",reject inertia-as-force reasoning,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s2-ic2-reject-inertia-as-force-reasoning,parallel,U1-SUM-V1-Q04,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: reject inertia-as-force reasoning
U1-SUM-V4-Q05,V4,5,U1-S2-IC3,"I can distinguish between “no forces acting” and “no net force acting.” and identify support force, weight, and other common forces in simple situations.",distinguish no forces from zero net force using a force model,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram,true,u1-s2-ic3-distinguish-no-forces-zero-net-force-force-model,parallel,U1-SUM-V1-Q05,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: distinguish no forces from zero net force using a force model
